gene_symbol,reference_gene_id
HOXA11,ENSSSCG00000016698
HOXA13,ENSSSCG00000029666
HOXA2,ENSSSCG00000016706
HOXA3,ENSSSCG00000016705
HOXA5,ENSSSCG00000016703
HOXA7,ENSSSCG00000016701
HOXB1,ENSSSCG00000017532
HOXB13,ENSSSCG00000017541
HOXB2,ENSSSCG00000017533
HOXB3,ENSSSCG00000017534
HOXB4,ENSSSCG00000017535
HOXB5,ENSSSCG00000017540
HOXB6,ENSSSCG00000017539
HOXB7,ENSSSCG00000017538
HOXB8,ENSSSCG00000017537
HOXB9,ENSSSCG00000039193
HOXC10,ENSSSCG00000022728
HOXC11,ENSSSCG00000028104
HOXC12,ENSSSCG00000000281
HOXC13,ENSSSCG00000000279
HOXC4,ENSSSCG00000038993
HOXC6,ENSSSCG00000030585
HOXC8,ENSSSCG00000038644
HOXC9,ENSSSCG00000034474
HOXD1,ENSSSCG00000015986
HOXD10,ENSSSCG00000015981
HOXD11,ENSSSCG00000034741
HOXD12,ENSSSCG00000015980
HOXD13,ENSSSCG00000015979
HOXD3,ENSSSCG00000015985
HOXD4,ENSSSCG00000015984
HOXD8,ENSSSCG00000040349
HOXD9,ENSSSCG00000015982
HSF1,ENSSSCG00000005917
HSF2,ENSSSCG00000004238
HSF4,ENSSSCG00000002792
HSF5,ENSSSCG00000017641
ID1,ENSSSCG00000037016
ID2,ENSSSCG00000008645
ID3,ENSSSCG00000039514
ID4,ENSSSCG00000024312
IKZF1,ENSSSCG00000038345
IKZF2,ENSSSCG00000016164
IKZF3,ENSSSCG00000017494
IKZF4,ENSSSCG00000031139
IKZF5,ENSSSCG00000023565
INSM2,ENSSSCG00000001949
IQGAP1,ENSSSCG00000001814
IRF1,ENSSSCG00000014277
IRF2,ENSSSCG00000015782
IRF3,ENSSSCG00000003178
IRF4,ENSSSCG00000033381
IRF5,ENSSSCG00000016573
IRF6,ENSSSCG00000015612
IRF7,ENSSSCG00000012853
IRF8,ENSSSCG00000034980
IRF9,ENSSSCG00000002002
IRX1,ENSSSCG00000034884
IRX2,ENSSSCG00000032074
IRX3,ENSSSCG00000002831
IRX4,ENSSSCG00000017112
IRX5,ENSSSCG00000032145
IRX6,ENSSSCG00000002830
ISL1,ENSSSCG00000016883
ISL2,ENSSSCG00000033348
ISX,ENSSSCG00000040934
JARID2,ENSSSCG00000001061
JAZF1,ENSSSCG00000016691
JDP2,ENSSSCG00000035895
JUNB,ENSSSCG00000013735
KHSRP,ENSSSCG00000013538
KIAA1549,ENSSSCG00000016513
KLF1,ENSSSCG00000013730
KLF10,ENSSSCG00000027480
KLF11,ENSSSCG00000038643
KLF12,ENSSSCG00000025130
KLF13,ENSSSCG00000026006
KLF14,ENSSSCG00000016550
KLF15,ENSSSCG00000036742
KLF16,ENSSSCG00000024672
KLF17,ENSSSCG00000024191
KLF2,ENSSSCG00000038911
KLF3,ENSSSCG00000036488
KLF4,ENSSSCG00000005437
KLF5,ENSSSCG00000035101
KLF6,ENSSSCG00000035212
KLF7,ENSSSCG00000029998
KLF8,ENSSSCG00000012352
KLF9,ENSSSCG00000021646
KMT2C,ENSSSCG00000020663
L3MBTL3,ENSSSCG00000004203
LBX1,ENSSSCG00000022693
LBX2,ENSSSCG00000008278
LCOR,ENSSSCG00000010513
LCORL,ENSSSCG00000008748
LEF1,ENSSSCG00000009148
LHX1,ENSSSCG00000017692
LHX2,ENSSSCG00000005586
LHX3,ENSSSCG00000034657
LHX4,ENSSSCG00000015536
LHX5,ENSSSCG00000009869
LHX6,ENSSSCG00000005530
LHX8,ENSSSCG00000003778
LHX9,ENSSSCG00000010903
LIN28A,ENSSSCG00000003557
LIN28B,ENSSSCG00000037612
LITAF,ENSSSCG00000032381
LMX1A,ENSSSCG00000006329
LMX1B,ENSSSCG00000035968
LRRFIP2,ENSSSCG00000027738
LTF,ENSSSCG00000029879
LYAR,ENSSSCG00000008729
LYL1,ENSSSCG00000024549
MAEL,ENSSSCG00000006316
MAF,ENSSSCG00000040607
MAFA,ENSSSCG00000034820
MAFF,ENSSSCG00000030165
MAFG,ENSSSCG00000035253
MAFK,ENSSSCG00000007559
