gene_symbol,reference_gene_id
CU570689.2,ENSDARG00000105713
CU570894.1,ENSDARG00000108441
CU570894.2,ENSDARG00000116814
CU655961.1,ENSDARG00000055690
CU655961.2,ENSDARG00000105073
CU655961.3,ENSDARG00000106724
CU655961.4,ENSDARG00000114883
CU856622.1,ENSDARG00000106808
CU861574.1,ENSDARG00000113654
CU896630.2,ENSDARG00000100883
CU915778.1,ENSDARG00000099025
CU929037.1,ENSDARG00000089607
CU929391.1,ENSDARG00000088039
CU929391.2,ENSDARG00000090304
CU929391.3,ENSDARG00000099718
cux1a,ENSDARG00000078459
cux2b,ENSDARG00000086345
CZQB01141835.1,ENSDARG00000112811
dacha,ENSDARG00000010132
dachb,ENSDARG00000034785
dachb,ENSDARG00000111845
dachc,ENSDARG00000003142
dachc,ENSDARG00000109556
dachd,ENSDARG00000069440
dbpa,ENSDARG00000063014
dbpb,ENSDARG00000057652
dbpb,ENSDARG00000116703
dbx1a,ENSDARG00000086393
dbx1b,ENSDARG00000001859
dbx1b,ENSDARG00000113468
ddit3,ENSDARG00000059836
deaf1,ENSDARG00000088844
dharma,ENSDARG00000040955
dlx1a,ENSDARG00000013125
dlx2a,ENSDARG00000079964
dlx2b,ENSDARG00000017174
dlx2b,ENSDARG00000116017
dlx3b,ENSDARG00000014626
dlx4a,ENSDARG00000011956
dlx4b,ENSDARG00000071560
dlx5a,ENSDARG00000042296
dlx6a,ENSDARG00000042291
dmbx1a,ENSDARG00000009922
dmbx1b,ENSDARG00000002510
dmrt1,ENSDARG00000007349
dmrt2a,ENSDARG00000015072
dmrt2a,ENSDARG00000113160
dmrt2b,ENSDARG00000070013
dmrt2b,ENSDARG00000114365
dmrt2b,ENSDARG00000114967
dmrt3a,ENSDARG00000035290
dmrt3a,ENSDARG00000114587
dmrta2,ENSDARG00000039412
dmtf1,ENSDARG00000025824
dmtf1,ENSDARG00000109819
dmtf1,ENSDARG00000110011
dnajc1,ENSDARG00000001940
dnajc2,ENSDARG00000070477
drgx,ENSDARG00000069329
drl,ENSDARG00000078004
drll.1,ENSDARG00000035151
drll.2,ENSDARG00000035150
drll.3,ENSDARG00000095635
e2f1,ENSDARG00000103868
e2f3,ENSDARG00000070463
e2f4,ENSDARG00000101578
e2f4,ENSDARG00000109320
e2f5,ENSDARG00000038812
e2f7,ENSDARG00000008986
e2f8,ENSDARG00000057323
e4f1,ENSDARG00000038243
ebf1b,ENSDARG00000069196
ebf2,ENSDARG00000042525
ebf3a,ENSDARG00000099849
ebf3a,ENSDARG00000100244
ebf3b,ENSDARG00000091287
egr1,ENSDARG00000037421
egr1,ENSDARG00000115563
egr2a,ENSDARG00000044098
egr2b,ENSDARG00000042826
egr3,ENSDARG00000089156
egr4,ENSDARG00000077799
ehf,ENSDARG00000052115
ehf,ENSDARG00000112589
elf1,ENSDARG00000020759
elf2a,ENSDARG00000019459
elf2b,ENSDARG00000079626
elf2b,ENSDARG00000117064
elf3,ENSDARG00000077982
elk1,ENSDARG00000078066
elk3,ENSDARG00000018688
elk3,ENSDARG00000110853
elk4,ENSDARG00000077092
elmsan1b,ENSDARG00000053864
emx1,ENSDARG00000039569
emx2,ENSDARG00000039701
emx3,ENSDARG00000020417
en1a,ENSDARG00000014321
en1b,ENSDARG00000098730
en2a,ENSDARG00000026599
en2a,ENSDARG00000115233
en2b,ENSDARG00000038868
eomesa,ENSDARG00000006640
eomesb,ENSDARG00000104243
epas1b,ENSDARG00000057671
erf,ENSDARG00000063417
erfl1,ENSDARG00000086892
erfl3,ENSDARG00000062801
erg,ENSDARG00000077304
esr1,ENSDARG00000004111
esr1,ENSDARG00000112357
esr2a,ENSDARG00000016454
esr2b,ENSDARG00000034181
esrra,ENSDARG00000069266
esrrb,ENSDARG00000100847
esrrga,ENSDARG00000004861
esrrgb,ENSDARG00000011696
ets2,ENSDARG00000103980
etv1,ENSDARG00000101959
etv2,ENSDARG00000053868
etv4,ENSDARG00000018303
etv4,ENSDARG00000115855
etv5a,ENSDARG00000069763
etv5a,ENSDARG00000112509
etv5a,ENSDARG00000113729
etv5b,ENSDARG00000044511
etv5b,ENSDARG00000113744
etv7,ENSDARG00000089434
eve1,ENSDARG00000056012
evx1,ENSDARG00000099365
evx1,ENSDARG00000100087
evx2,ENSDARG00000059255
ferd3l,ENSDARG00000092160
fev,ENSDARG00000009242
fezf1,ENSDARG00000010270
fezf2,ENSDARG00000070677
figla,ENSDARG00000087166
figla,ENSDARG00000115572
flad1,ENSDARG00000070390
fli1a,ENSDARG00000054632
fli1b,ENSDARG00000040080
FO681288.3,ENSDARG00000111043
FO704836.1,ENSDARG00000115096
