gene_symbol,reference_gene_id
Foxl1,ENSRNOG00000047125
Foxl2,ENSRNOG00000017190
Foxl3,ENSRNOG00000039296
Foxm1,ENSRNOG00000005936
Foxn1,ENSRNOG00000010870
Foxn2,ENSRNOG00000040110
Foxn3,ENSRNOG00000004709
Foxn4,ENSRNOG00000000691
Foxo1,ENSRNOG00000013397
Foxo3,ENSRNOG00000000299
Foxo4,ENSRNOG00000033316
Foxo6,ENSRNOG00000032639
Foxp1,ENSRNOG00000009184
Foxp2,ENSRNOG00000054508
Foxp3,ENSRNOG00000011702
Foxp4,ENSRNOG00000022804
Foxq1,ENSRNOG00000062314
Foxr1,ENSRNOG00000029089
Foxr2,ENSRNOG00000030619
Foxs1,ENSRNOG00000008529
Gabpa,ENSRNOG00000053205
Gabpb1,ENSRNOG00000010659
Gabpb2,ENSRNOG00000021105
Gata1,ENSRNOG00000047663
Gata2,ENSRNOG00000012347
Gata3,ENSRNOG00000019336
Gata4,ENSRNOG00000010708
Gata5,ENSRNOG00000058983
Gata6,ENSRNOG00000023433
Gatad1,ENSRNOG00000008613
Gatad2a,ENSRNOG00000022173
Gatad2b,ENSRNOG00000015553
Gbx1,ENSRNOG00000013369
Gbx2,ENSRNOG00000019495
Gcfc2,ENSRNOG00000006888
Gcm1,ENSRNOG00000007932
Gcm2,ENSRNOG00000015008
Gfi1,ENSRNOG00000002042
Gfi1b,ENSRNOG00000011353
Giot1,ENSRNOG00000051563
Gli1,ENSRNOG00000025120
Gli2,ENSRNOG00000007261
Gli3,ENSRNOG00000014395
Gli4,ENSRNOG00000021765
Glis1,ENSRNOG00000000138
Glis2,ENSRNOG00000004766
Glis3,ENSRNOG00000014768
Glmp,ENSRNOG00000019281
Gm45871,ENSRNOG00000068672
Gm45902,ENSRNOG00000065772
Gmeb1,ENSRNOG00000010910
Gmeb2,ENSRNOG00000013339
Gon4l,ENSRNOG00000020297
Gpbp1,ENSRNOG00000013002
Grhl1,ENSRNOG00000054989
Grhl2,ENSRNOG00000007000
Grhl3,ENSRNOG00000029427
Gsc,ENSRNOG00000010605
Gsc2,ENSRNOG00000000282
Gsx1,ENSRNOG00000000952
Gsx2,ENSRNOG00000002266
Gtf2i,ENSRNOG00000001479
Gtf2ird1,ENSRNOG00000001478
Gtf2ird2,ENSRNOG00000001482
Gtf3a,ENSRNOG00000050016
Gzf1,ENSRNOG00000004735
Hand1,ENSRNOG00000002582
Hand2,ENSRNOG00000060448
Hbp1,ENSRNOG00000008927
Hdx,ENSRNOG00000037799
Helt,ENSRNOG00000010785
Hes1,ENSRNOG00000001720
