gene_symbol,reference_gene_id
lyar,ENSXETG00000016038
lypla1,ENSXETG00000036488
maf,ENSXETG00000000172
mafa,ENSXETG00000039765
mafb,ENSXETG00000037195
MAFF,ENSXETG00000038584
mafk,ENSXETG00000038975
map1b,ENSXETG00000038698
max,ENSXETG00000007650
maz,ENSXETG00000004675
mbd1,ENSXETG00000040845
mbd2,ENSXETG00000013688
mbd2,ENSXETG00000037637
mbd3,ENSXETG00000013593
mbd4,ENSXETG00000026622
mcm7,ENSXETG00000035931
mecom,ENSXETG00000022839
mecp2,ENSXETG00000014242
mef2a,ENSXETG00000018788
mef2c,ENSXETG00000007038
mef2d,ENSXETG00000020378
meis1,ENSXETG00000011473
meis2,ENSXETG00000012882
meis3,ENSXETG00000002807
men1,ENSXETG00000038666
meox2,ENSXETG00000005051
mespa,ENSXETG00000017725
mespb,ENSXETG00000027628
metap1d,ENSXETG00000007534
mga,ENSXETG00000000051
MGC145518,ENSXETG00000032392
MGC145685,ENSXETG00000030107
MGC146893,ENSXETG00000038777
MGC147402,ENSXETG00000031644
mideas,ENSXETG00000000062
mien1,ENSXETG00000027149
mier1,ENSXETG00000012401
mier2,ENSXETG00000006573
mier3,ENSXETG00000015520
mindy1,ENSXETG00000038247
mix1,ENSXETG00000025923
mixer,ENSXETG00000027672
mkx,ENSXETG00000004554
mllt10,ENSXETG00000007391
mllt6,ENSXETG00000039597
mlx,ENSXETG00000012035
mlxip,ENSXETG00000003773
mnt,ENSXETG00000019434
mnx1,ENSXETG00000021615
mogat1,ENSXETG00000040979
morc3.2,ENSXETG00000033135
mpped2,ENSXETG00000038906
msantd4,ENSXETG00000021381
msc,ENSXETG00000015977
msgn1,ENSXETG00000015571
msh4,ENSXETG00000035429
msx1,ENSXETG00000016052
msx2,ENSXETG00000009168
mta1,ENSXETG00000017948
mta2,ENSXETG00000005633
mtf1,ENSXETG00000014429
mxd1,ENSXETG00000033966
mxd3,ENSXETG00000007236
mxd4,ENSXETG00000020483
mxi1,ENSXETG00000039065
myb,ENSXETG00000003725
mybl1,ENSXETG00000029934
mybl2,ENSXETG00000012125
myc,ENSXETG00000025372
mycl,ENSXETG00000010956
mycn,ENSXETG00000015485
myef2,ENSXETG00000018412
myf5,ENSXETG00000014520
myf6,ENSXETG00000027340
mynn,ENSXETG00000009218
myog,ENSXETG00000001704
myrf,ENSXETG00000006702
myrfl,ENSXETG00000011388
mysm1,ENSXETG00000011126
myt1,ENSXETG00000011499
myt1l,ENSXETG00000027983
ncf2,ENSXETG00000039659
ncoa1,ENSXETG00000021173
ncoa3,ENSXETG00000003480
ncor1,ENSXETG00000006720
ncor2,ENSXETG00000001192
ndst1,ENSXETG00000020822
neurod1,ENSXETG00000014068
neurod2,ENSXETG00000036701
neurod4,ENSXETG00000004295
neurod6,ENSXETG00000023427
neurog1,ENSXETG00000007898
neurog1,ENSXETG00000037967
neurog2,ENSXETG00000024100
neurog3,ENSXETG00000026423
nfat5,ENSXETG00000017861
nfatc1,ENSXETG00000000853
nfatc2,ENSXETG00000012311
