gene_symbol,reference_gene_id
HOXA7,ENSGALG00000026989
HOXA9,ENSGALG00000028983
HOXB13,ENSGALG00000033154
HOXB2,ENSGALG00000025774
HOXB3,ENSGALG00000043219
HOXB4,ENSGALG00000000284
HOXB5,ENSGALG00000034907
HOXB6,ENSGALG00000037619
HOXB7,ENSGALG00000032740
HOXB8,ENSGALG00000040320
HOXB9,ENSGALG00000001276
HOXC10,ENSGALG00000029393
HOXC11,ENSGALG00000050755
HOXC12,ENSGALG00000033272
HOXC13,ENSGALG00000036082
HOXC4,ENSGALG00000035539
HOXC6,ENSGALG00000039051
HOXC8,ENSGALG00000037262
HOXC9,ENSGALG00000029439
HOXD10,ENSGALG00000009270
HOXD11,ENSGALG00000039629
HOXD12,ENSGALG00000009274
HOXD13,ENSGALG00000032039
HOXD3,ENSGALG00000023420
HOXD4,ENSGALG00000023419
HOXD8,ENSGALG00000037272
HOXD9,ENSGALG00000027513
HSF1,ENSGALG00000036821
HSF2,ENSGALG00000038420
HSF3,ENSGALG00000040662
HSF4,ENSGALG00000003224
ID1,ENSGALG00000034661
ID2,ENSGALG00000035016
ID3,ENSGALG00000035317
ID4,ENSGALG00000039474
IKZF1,ENSGALG00000013086
IKZF2,ENSGALG00000003136
IKZF3,ENSGALG00000013481
IKZF4,ENSGALG00000035734
IKZF5,ENSGALG00000032289
INSM2,ENSGALG00000053937
IRF1,ENSGALG00000006785
IRF2,ENSGALG00000010642
IRF4,ENSGALG00000012830
IRF5,ENSGALG00000039982
IRF6,ENSGALG00000001405
IRF7,ENSGALG00000014297
IRF8,ENSGALG00000005757
IRF9,ENSGALG00000030291
IRX1,ENSGALG00000030991
IRX2,ENSGALG00000013193
IRX3,ENSGALG00000042045
IRX4,ENSGALG00000022896
IRX5,ENSGALG00000003588
IRX6,ENSGALG00000048295
ISL1,ENSGALG00000014884
ISL2,ENSGALG00000033391
JARID2,ENSGALG00000012702
JAZF1,ENSGALG00000030455
JDP2,ENSGALG00000010322
JUN,ENSGALG00000010870
JUND,ENSGALG00000043641
KIAA1549,ENSGALG00000012796
KLF10,ENSGALG00000037913
KLF11,ENSGALG00000016440
KLF12,ENSGALG00000016926
KLF13,ENSGALG00000026590
KLF15,ENSGALG00000036133
KLF2,ENSGALG00000003939
KLF3,ENSGALG00000041717
KLF5,ENSGALG00000016927
KLF6,ENSGALG00000033178
KLF7,ENSGALG00000008501
KLF8,ENSGALG00000037361
KLF9,ENSGALG00000027374
KMT2C,ENSGALG00000049653
L3MBTL3,ENSGALG00000034030
LBX1,ENSGALG00000034189
LBX2,ENSGALG00000031211
LCOR,ENSGALG00000028512
LCORL,ENSGALG00000014421
LEF1,ENSGALG00000031960
LEUTX,ENSGALG00000003965
LHX1,ENSGALG00000005409
LHX2,ENSGALG00000001124
LHX3,ENSGALG00000003928
LHX4,ENSGALG00000036587
LHX5,ENSGALG00000008303
LHX6,ENSGALG00000001347
LHX8,ENSGALG00000011369
LHX9,ENSGALG00000002223
LIN28A,ENSGALG00000036022
LIN28B,ENSGALG00000026761
LITAF,ENSGALG00000003217
LMX1A,ENSGALG00000003424
LMX1B,ENSGALG00000040582
LRRFIP1,ENSGALG00000003862
LRRFIP2,ENSGALG00000033102
LYAR,ENSGALG00000015000
MAF,ENSGALG00000026258
MAF1,ENSGALG00000047359
MAFA,ENSGALG00000026264
MAFB,ENSGALG00000003670
MAFF,ENSGALG00000012277
MAFG,ENSGALG00000031475
MAFK,ENSGALG00000004189
MAX,ENSGALG00000032249
MBD3,ENSGALG00000001101
MECOM,ENSGALG00000032577
MECP2,ENSGALG00000047963
MEF2A,ENSGALG00000032366
MEF2C,ENSGALG00000014645
MEF2D,ENSGALG00000037787
MEIS1,ENSGALG00000041626
MEIS2,ENSGALG00000039118
MEOX1,ENSGALG00000001191
MEOX2,ENSGALG00000010794
MESP1,ENSGALG00000026467
MGA,ENSGALG00000008653
MIDEAS,ENSGALG00000009282
MIER1,ENSGALG00000011118
MIER2,ENSGALG00000001108
MIS18BP1,ENSGALG00000012452
MITF,ENSGALG00000039583
MKRN2,ENSGALG00000004991
MKX,ENSGALG00000007426
MLLT10,ENSGALG00000007928
MLX,ENSGALG00000003199
MLXIP,ENSGALG00000004397
MLXIPL,ENSGALG00000034960
MNT,ENSGALG00000005830
MNX1,ENSGALG00000041154
MSANTD4,ENSGALG00000017177
MSC,ENSGALG00000037777
MSGN1,ENSGALG00000016469
MSX1,ENSGALG00000015013
MSX2,ENSGALG00000038848
MTA1,ENSGALG00000002803
MTA2,ENSGALG00000030998
MTA3,ENSGALG00000009925
MTF1,ENSGALG00000001639
MXD1,ENSGALG00000013882
MXD4,ENSGALG00000015688
MXI1,ENSGALG00000008555
MYB,ENSGALG00000013956
MYBL1,ENSGALG00000033304
MYBL2,ENSGALG00000003503
MYC,ENSGALG00000033631
MYCL,ENSGALG00000024047
MYCN,ENSGALG00000016462
MYEF2,ENSGALG00000032546
MYF5,ENSGALG00000028091
MYF6,ENSGALG00000010936
MYOD1,ENSGALG00000006216
MYOG,ENSGALG00000000172
MYRF,ENSGALG00000041253
MYSM1,ENSGALG00000010869
MYT1,ENSGALG00000005932
MYT1L,ENSGALG00000016384
NANOG,ENSGALG00000027772
NCOA1,ENSGALG00000016617
NCOA3,ENSGALG00000004570
NCOR2,ENSGALG00000003120
NEUROD1,ENSGALG00000008908
NEUROD2,ENSGALG00000039633
NEUROD4,ENSGALG00000034306
NEUROD6,ENSGALG00000030287
NEUROG1,ENSGALG00000029692
NFAT5,ENSGALG00000039300
NFATC1,ENSGALG00000042534
NFATC2,ENSGALG00000007963
NFATC3,ENSGALG00000003396
NFE2L1,ENSGALG00000011937
NFE2L2,ENSGALG00000009240
NFIA,ENSGALG00000010924
NFIB,ENSGALG00000005441
NFIC,ENSGALG00000041643
NFIL3,ENSGALG00000015209
NFIX,ENSGALG00000041630
NFKB1,ENSGALG00000012304
NFKB2,ENSGALG00000005653
NFRKB,ENSGALG00000001306
NFX1,ENSGALG00000043724
NFXL1,ENSGALG00000014138
NFYA,ENSGALG00000003247
NFYB,ENSGALG00000041193
NFYC,ENSGALG00000003189
NHLH1,ENSGALG00000025817
NHLH2,ENSGALG00000033432
NKRF,ENSGALG00000008645
NKX1-1,ENSGALG00000035650
NKX1-2,ENSGALG00000050402
NKX2-1,ENSGALG00000037632
NKX2-2,ENSGALG00000036869
NKX2-3,ENSGALG00000030932
NKX2-4,ENSGALG00000035835
NKX2-5,ENSGALG00000002886
NKX2-6,ENSGALG00000000365
NKX2-8,ENSGALG00000028483
NKX3-2,ENSGALG00000031859
NKX6-1,ENSGALG00000032545
NKX6-2,ENSGALG00000010500
NKX6-3,ENSGALG00000018503
NME2,ENSGALG00000002932
NOTO,ENSGALG00000035981
NPAS2,ENSGALG00000016774
NPAS3,ENSGALG00000029022
NR0B1,ENSGALG00000016287
NR0B2,ENSGALG00000000887
NR1D1,ENSGALG00000047662
NR1D2,ENSGALG00000011291
NR1H3,ENSGALG00000038059
NR1H4,ENSGALG00000011594
NR2C1,ENSGALG00000011327
NR2C2,ENSGALG00000008519
NR2E1,ENSGALG00000015305
NR2F1,ENSGALG00000027907
NR2F2,ENSGALG00000007000
NR2F6,ENSGALG00000043010
NR3C1,ENSGALG00000032992
NR3C2,ENSGALG00000010035
NR4A1,ENSGALG00000043727
NR4A2,ENSGALG00000012538
NR4A3,ENSGALG00000013568
NR5A1,ENSGALG00000001080
NR5A2,ENSGALG00000002182
NR6A1,ENSGALG00000001073
NRF1,ENSGALG00000040060
OGDH,ENSGALG00000014155
OLIG2,ENSGALG00000031010
ONECUT1,ENSGALG00000038618
ONECUT2,ENSGALG00000035751
ONECUT3,ENSGALG00000028081
OSR1,ENSGALG00000016473
OSR2,ENSGALG00000037695
OTP,ENSGALG00000026744
OTX1,ENSGALG00000028817
OTX2,ENSGALG00000034889
OTX5,ENSGALG00000039336
OVOL1,ENSGALG00000049996
OVOL2,ENSGALG00000008702
PATZ1,ENSGALG00000006934
PAWR,ENSGALG00000010320
PAX1,ENSGALG00000039040
PAX2,ENSGALG00000005689
PAX3,ENSGALG00000030944
PAX5,ENSGALG00000016431
PAX6,ENSGALG00000012123
PAX7,ENSGALG00000043204
PAX9,ENSGALG00000010114
PAXBP1,ENSGALG00000036833
PBRM1,ENSGALG00000037455
PBX1,ENSGALG00000003429
PBX3,ENSGALG00000000972
PBX4,ENSGALG00000034076
PGR,ENSGALG00000017195
PHB,ENSGALG00000038604
PHOX2B,ENSGALG00000014250
PHTF1,ENSGALG00000001845
PIAS1,ENSGALG00000007970
PIAS2,ENSGALG00000039434
PIAS3,ENSGALG00000034042
PIAS4,ENSGALG00000034413
PITX1,ENSGALG00000030237
PITX2,ENSGALG00000042492
PKNOX1,ENSGALG00000016191
PKNOX2,ENSGALG00000043103
PLAG1,ENSGALG00000015407
PLAGL1,ENSGALG00000013754
PLAGL2,ENSGALG00000006586
PLEK,ENSGALG00000008756
PLSCR1,ENSGALG00000006805
PMS1,ENSGALG00000034011
POU1F1,ENSGALG00000015495
POU2F1,ENSGALG00000015446
POU2F3,ENSGALG00000006673
POU3F1,ENSGALG00000031605
POU3F3,ENSGALG00000033739
POU3F4,ENSGALG00000029329
POU4F1,ENSGALG00000035441
POU4F2,ENSGALG00000037094
POU4F3,ENSGALG00000034567
POU4F3,ENSGALG00000043334
Pou5f3,ENSGALG00000031482
POU6F1,ENSGALG00000043072
PPARA,ENSGALG00000041470
PPARD,ENSGALG00000002588
PPARG,ENSGALG00000004974
PRDM1,ENSGALG00000015388
PRDM10,ENSGALG00000033660
PRDM11,ENSGALG00000008053
PRDM12,ENSGALG00000003895
PRDM13,ENSGALG00000038476
PRDM14,ENSGALG00000033439
PRDM15,ENSGALG00000019178
PRDM16,ENSGALG00000036728
PRDM2,ENSGALG00000038780
PRDM4,ENSGALG00000012619
PRDM5,ENSGALG00000011963
PRDM6,ENSGALG00000005351
PROX1,ENSGALG00000009791
PRRX1,ENSGALG00000003324
PRRX2,ENSGALG00000028236
PTF1A,ENSGALG00000027144
PURA,ENSGALG00000029387
PURG,ENSGALG00000027562
RAG1,ENSGALG00000007938
RARA,ENSGALG00000037935
RARB,ENSGALG00000011298
RARG,ENSGALG00000033404
RAX,ENSGALG00000033279
RAX2,ENSGALG00000013431
RBPJ,ENSGALG00000014365
RBPJL,ENSGALG00000003952
RCOR1,ENSGALG00000011384
RCOR3,ENSGALG00000009871
REL,ENSGALG00000007845
RELA,ENSGALG00000039409
RERE,ENSGALG00000002232
RFX2,ENSGALG00000001773
RFX3,ENSGALG00000010179
RFX4,ENSGALG00000012647
RFX5,ENSGALG00000000836
RFX6,ENSGALG00000014918
RFX7,ENSGALG00000041896
RFXANK,ENSGALG00000037261
RLF,ENSGALG00000000862
RORA,ENSGALG00000003759
RORB,ENSGALG00000015150
RORC,ENSGALG00000033941
RP1-27O5.3,ENSGALG00000003408
RPL37A,ENSGALG00000011475
RREB1,ENSGALG00000012799
RUNX1,ENSGALG00000016022
RUNX2,ENSGALG00000040276
RUNX3,ENSGALG00000043372
RXRA,ENSGALG00000042055
RXRG,ENSGALG00000040730
SALL1,ENSGALG00000039238
SALL3,ENSGALG00000041404
SALL4,ENSGALG00000041365
SAMD11,ENSGALG00000034453
SATB1,ENSGALG00000011254
SATB2,ENSGALG00000008135
SCRT1,ENSGALG00000040641
SCRT2,ENSGALG00000028912
SCX,ENSGALG00000043433
SETBP1,ENSGALG00000036775
SETDB1,ENSGALG00000024051
SETDB2,ENSGALG00000017006
SFPQ,ENSGALG00000002514
SHOX,ENSGALG00000016698
SHOX2,ENSGALG00000039728
SIM1,ENSGALG00000015466
SIM2,ENSGALG00000016044
SIX1,ENSGALG00000029401
